 time_step hot_sigma q_25_hot_br_sigma q_75_hot_br_sigma hot_wr_sigma q_25_hot_wr_sigma q_75_hot_wr_sigma cold_sigma q_25_cold_br_sigma q_75_cold_br_sigma cold_wr_sigma q_25_cold_wr_sigma q_75_cold_wr_sigma
28 2056.0 8.01491 7.94078 8.085795000000001 0.028919820780337953 0.020725096486817092 0.04721961517002719 8.00746 7.955305 8.07906 0.02182371612045075 0.01336791534976783 0.03450690626582428
29 2058.0 8.01491 7.942802500000001 8.091339999999999 0.028201075375399964 0.019947623312093418 0.04883380429916272 8.0087 7.94838 8.075145 0.021999437027926963 0.012257317923493572 0.034006666629110824
30 2060.0 8.01491 7.93987 8.08661 0.02890649750377835 0.020182591067649573 0.047423172887956 8.00331 7.9439 8.068380000000001 0.020212239333341316 0.012283998056436048 0.03106460835352067
31 2062.0 8.01491 7.944825 8.085795000000001 0.02912199077765584 0.018400526847666465 0.04493896682472011 8.00331 7.946415 8.072675 0.019957067454786297 0.012650612223268794 0.031353334590671356
32 2064.0 8.012585000000001 7.9444 8.085795000000001 0.0265584144268842 0.017974494037161788 0.0412825458123125 8.00331 7.9438200000000005 8.072675 0.02053041503208701 0.011207566566645186 0.031648191584634916
33 2066.0 8.01857 7.9444 8.099544999999999 0.02491043428784747 0.017274172857122683 0.040985881091455956 8.00331 7.94525 8.076830000000001 0.02095596076315086 0.012282510685879464 0.032808086722775326
34 2068.0 8.0107 7.94399 8.099544999999999 0.025590035510047522 0.015364609457873251 0.040625817484163065 8.01047 7.94525 8.076830000000001 0.019777231706883412 0.0118905759551252 0.030404786998483344
35 2070.0 8.02462 7.9439150000000005 8.111855 0.025057709464119053 0.015068230543860466 0.036149268506258214 8.01047 7.941765 8.092445 0.019413338420004294 0.011312367830041307 0.030693126856415353
36 2072.0 8.02462 7.944825 8.10669 0.024284491943221076 0.01600774762229445 0.03702741604791575 8.01047 7.94525 8.092445 0.01930927505944525 0.010006129611306855 0.030266075919343244
37 2074.0 8.03446 7.9439150000000005 8.111615 0.02410262972916792 0.015354840750135268 0.0360002537668434 8.02499 7.94525 8.11167 0.017116161325839957 0.010299042775380407 0.029535274318795636
38 2076.0 8.03446 7.9439150000000005 8.10669 0.023080611666013374 0.015067943852189604 0.03533713266981535 8.02599 7.94525 8.11167 0.016253649699233128 0.01017540535973372 0.027732193324562525
39 2078.0 8.01925 7.944825 8.111855 0.021184895636381564 0.012779559078891677 0.0341079372041456 8.02499 7.94525 8.12922 0.016291505948943425 0.010167635114579278 0.027407583822001938
40 2080.0 8.01925 7.945685 8.10953 0.020587833950070272 0.012344238161476308 0.033379343295359964 8.017634999999999 7.94525 8.12922 0.015309998309873781 0.009928450511421587 0.02663261095628517
