	time	range_hot	range_cold
642	3284	109	21
643	3286	109	21
644	3288	109	21
645	3290	109	20
646	3292	109	20
647	3294	109	20
648	3296	109	20
649	3298	109	20
650	3300	109	20
651	3302	109	20
652	3304	109	20
653	3306	109	20
654	3308	109	20
655	3310	110	20
656	3312	110	20
657	3314	110	20
658	3316	111	20
659	3318	111	20
660	3320	109	20
661	3322	111	20
662	3324	111	20
663	3326	111	19
664	3328	111	19
665	3330	111	19
666	3332	111	19
667	3334	111	19
668	3336	111	19
669	3338	111	19
670	3340	111	19
671	3342	111	19
672	3344	111	18
673	3346	111	18
674	3348	111	18
675	3350	111	18
676	3352	111	18
677	3354	111	18
678	3356	111	18
679	3358	111	18
680	3360	111	18
681	3362	111	18
682	3364	111	18
683	3366	111	18
684	3368	111	18
685	3370	111	18
686	3372	111	18
687	3374	111	18
688	3376	111	17
689	3378	111	17
690	3380	111	17
691	3382	111	17
692	3384	111	17
693	3386	111	17
694	3388	111	17
695	3390	111	17
696	3392	111	17
697	3394	112	17
698	3396	112	17
699	3398	112	17
700	3400	112	17
701	3402	112	17
702	3404	112	17
703	3406	112	17
704	3408	112	17
705	3410	113	17
706	3412	113	17
707	3414	113	17
708	3416	113	17
709	3418	113	16
710	3420	113	16
711	3422	113	16
712	3424	113	16
713	3426	113	16
714	3428	113	16
715	3430	113	16
716	3432	113	16
717	3434	114	16
718	3436	114	16
719	3438	114	16
720	3440	114	16
721	3442	114	16
722	3444	114	16
723	3446	114	16
724	3448	114	16
725	3450	114	16
726	3452	114	16
727	3454	114	16
728	3456	114	16
729	3458	114	16
730	3460	114	16
731	3462	114	16
732	3464	114	15
733	3466	114	16
734	3468	113	16
735	3470	114	15
736	3472	115	15
737	3474	115	15
738	3476	115	15
739	3478	115	15
740	3480	115	15
741	3482	115	15
742	3484	115	15
743	3486	115	15
744	3488	115	15
745	3490	115	15
746	3492	115	15
747	3494	115	14
748	3496	115	14
749	3498	115	14
750	3500	115	14
751	3502	115	14
752	3504	115	14
753	3506	116	14
754	3508	116	14
755	3510	116	14
756	3512	116	13
757	3514	116	13
758	3516	116	13
759	3518	116	13
760	3520	116	13
761	3522	116	13
762	3524	116	13
763	3526	116	13
764	3528	116	13
765	3530	116	13
766	3532	116	13
767	3534	116	13
768	3536	116	13
769	3538	116	13
770	3540	116	13
771	3542	116	12
772	3544	116	12
773	3546	116	12
774	3548	117	12
775	3550	117	12
776	3552	117	12
777	3554	117	12
778	3556	117	12
779	3558	117	12
780	3560	117	12
781	3562	117	12
782	3564	117	12
783	3566	117	11
784	3568	117	11
785	3570	117	11
786	3572	117	11
787	3574	116	11
788	3576	116	11
789	3578	116	11
790	3580	116	11
791	3582	116	11
792	3584	117	10
793	3586	116	10
794	3588	116	10
795	3590	117	10
796	3592	117	10
797	3594	116	10
798	3596	117	10
799	3598	116	10
