 time_step hot_dSr q_25_hot_br_dSr q_75_hot_br_dSr hot_wr_dSr q_25_hot_wr_dSr q_75_hot_wr_dSr cold_dSr q_25_cold_br_dSr q_75_cold_br_dSr cold_wr_dSr q_25_cold_wr_dSr q_75_cold_wr_dSr
34 2068.0 -0.008877844999999999 -0.009155565000000001 -0.0086626175 1.962305120108379e-08 9.629267893189288e-09 6.504722509195437e-08 -0.009079009999999998 -0.0092347825 -0.008892025 1.0182350738415325e-07 6.653521531278894e-08 1.8151584322239256e-07
35 2070.0 -0.008877844999999999 -0.009155565000000001 -0.008657935 2.0413595945450996e-08 8.684275293568997e-09 6.393697180071319e-08 -0.009079009999999998 -0.0092347825 -0.0089048825 1.0266732089807436e-07 6.654465399506249e-08 1.7930483864013962e-07
36 2072.0 -0.008877844999999999 -0.00917954625 -0.00865408 1.8869613604351935e-08 8.763956514845946e-09 5.453238380312346e-08 -0.009077545 -0.00923749 -0.0088682 1.0027258799437938e-07 6.351844276328791e-08 1.728622498910197e-07
37 2074.0 -0.008870929999999999 -0.0091965825 -0.008657935 1.6764592792525365e-08 8.7722984354929e-09 4.8456146506011065e-08 -0.00907361 -0.009240715 -0.0088837775 9.942951398540312e-08 5.8516820993302815e-08 1.6014786607854624e-07
38 2076.0 -0.008877844999999999 -0.009170655 -0.008657935 1.4597980130426497e-08 7.842297085886564e-09 4.586178693885731e-08 -0.00907726 -0.009240715 -0.008884895 9.430064584594033e-08 5.523408577595001e-08 1.6225070359452705e-07
39 2078.0 -0.008882075 -0.009175477500000001 -0.0086626175 1.2305384251637769e-08 7.810033122292993e-09 4.385440600392925e-08 -0.009076645 -0.00923525 -0.008884895 9.54008727967829e-08 5.541857357275688e-08 1.6308221585291548e-07
40 2080.0 -0.008877844999999999 -0.009175477500000001 -0.0086626175 1.1847399009084916e-08 6.6850569699373225e-09 4.0427345584851305e-08 -0.00907973 -0.0092425075 -0.008884895 9.461814049273055e-08 5.209049937102098e-08 1.4923269223246633e-07
41 2082.0 -0.008877844999999999 -0.0091965825 -0.0086626175 1.2581797111084887e-08 6.281345325042204e-09 3.488271686516852e-08 -0.00907973 -0.0092425075 -0.00885754 9.356247180317321e-08 4.753815413888315e-08 1.4982353706711147e-07
42 2084.0 -0.008870929999999999 -0.009165655 -0.008657935 1.187545760972449e-08 5.523244098763632e-09 3.132077447406714e-08 -0.00907973 -0.0092570525 -0.00885754 9.546164387572991e-08 4.414078042267027e-08 1.5215966104550925e-07
43 2086.0 -0.008877844999999999 -0.009176759999999999 -0.008657935 1.2950211529184553e-08 5.647988692282296e-09 3.160032894747872e-08 -0.00907973 -0.0092570525 -0.00885754 9.40536395609902e-08 4.4127863294982456e-08 1.4971920289667777e-07
