 time_step hot_growth q_25_hot_br_growth q_75_hot_br_growth hot_wr_growth q_25_hot_wr_growth q_75_hot_wr_growth cold_growth q_25_cold_br_growth q_75_cold_br_growth cold_wr_growth q_25_cold_wr_growth q_75_cold_wr_growth
10 2020.0 0.2336113167065774 0.22956096996329142 0.23670548863888868 8.380314297047697e-05 6.629079112016549e-05 9.701034869024944e-05 0.14777129729917532 0.14616962483491702 0.14854630376880273 2.626494672480385e-05 1.83775382873099e-05 3.159336890962586e-05
11 2022.0 0.2343781497896119 0.23143451469495574 0.23703709991173091 8.429451847239875e-05 6.547615851030812e-05 9.953994398301952e-05 0.1474358643710605 0.14579875176924795 0.14840483984728314 2.506369038310864e-05 1.8793694540610725e-05 3.238744557671848e-05
12 2024.0 0.23483822919173664 0.23318512868184788 0.23794048674444931 8.746299394146167e-05 6.579158299458923e-05 0.00010465606728660952 0.14640764327490607 0.14491842513396763 0.1479570189530073 2.2147076442296608e-05 1.7878983678678945e-05 3.045789959804504e-05
13 2026.0 0.2363028775634593 0.23395426891497634 0.2396166568474381 8.808423261139399e-05 6.95497236769675e-05 0.00011292477341308968 0.14560446045933118 0.14451113583259634 0.14644035931572275 2.0423559524719608e-05 1.8171081758739345e-05 2.476636930192151e-05
14 2028.0 0.23751977437490385 0.23430870899114553 0.2432123330492936 9.147730851135683e-05 6.931932154516664e-05 0.00011023098672760534 0.14508750570405438 0.14405425106607445 0.14604759674074938 2.1064383655832235e-05 1.865110223418392e-05 2.5277858884144953e-05
15 2030.0 0.23958972556488528 0.23524922907657397 0.24530993506593496 9.357845107276617e-05 7.108386620466547e-05 0.0001135390108299064 0.1445992922143508 0.14362406723245408 0.14585287841561195 2.1768250610118655e-05 1.9679683223011318e-05 2.595597793233774e-05
16 2032.0 0.2418676004347836 0.2359341344688248 0.24656706422511418 9.153929656322276e-05 6.524293366085262e-05 0.00010792452338303856 0.14418253772972933 0.1430191155669091 0.14538492160704483 2.207476647578326e-05 1.9867229968270976e-05 2.505566661211865e-05
17 2034.0 0.2438639474655431 0.23706064043712857 0.24742128376931366 9.252194279392472e-05 6.205213715274461e-05 0.00011194967988838135 0.14356857882872584 0.14236422727347228 0.1449589415359742 2.298028256064847e-05 2.0514089264044494e-05 2.6406531533924854e-05
18 2036.0 0.24548335246030345 0.23894026006833544 0.24826085790575625 9.311557734644166e-05 6.372734602381364e-05 0.00011882197145869993 0.14257961484331083 0.1411593429334127 0.14416629414857107 2.277720578935846e-05 1.9607283972626627e-05 2.6428983939704817e-05
19 2038.0 0.2463921936258337 0.24047774988019105 0.2506289145741273 7.992081994081205e-05 6.213750322597386e-05 0.00011980851767581225 0.14201699313372812 0.13989104433272653 0.14347403598097438 2.257716506721062e-05 2.004140779466256e-05 2.660506345152919e-05
20 2040.0 0.24693761674881606 0.24253809691046596 0.25193543520699624 8.637363166054616e-05 6.308035147226972e-05 0.0001227196311111608 0.1414703586485227 0.13959572459232905 0.14265775633520944 2.3103668068450043e-05 1.9338483706443e-05 2.7506746322335564e-05
21 2042.0 0.24798617874808765 0.242880883964038 0.25338392660284836 8.968109414778433e-05 6.139187827973678e-05 0.00012619359144230545 0.1405739166926596 0.13901177610015497 0.14200375428672654 2.2940614446266552e-05 1.7532218299285692e-05 2.777707505603508e-05
22 2044.0 0.24849459331531196 0.24392918735681854 0.2558168960081798 8.584081577700105e-05 5.652730733772939e-05 0.0001188044097628974 0.14003971661188008 0.1384927200262345 0.14152179777934315 2.2139272129331313e-05 1.680013551914187e-05 2.839864143264905e-05
23 2046.0 0.24960943098741845 0.24417111187592383 0.2578374145327941 8.580089416394262e-05 6.0022325798836154e-05 0.00012333817361084853 0.1391699317502666 0.13768125147231874 0.14051923932230426 2.0303918529495504e-05 1.6591774644279858e-05 2.536730774121513e-05
