 time_step hot_DSm q_25_hot_br_DSm q_75_hot_br_DSm hot_wr_DSm q_25_hot_wr_DSm q_75_hot_wr_DSm cold_DSm q_25_cold_br_DSm q_75_cold_br_DSm cold_wr_DSm q_25_cold_wr_DSm q_75_cold_wr_DSm
20 2040.0 -0.0009057325 -0.001001415 -0.000797885 1.5712320970645449e-09 7.241868079154915e-10 3.3972101009987128e-09 -0.000960148 -0.0010383125 -0.000883699 3.975189505456356e-09 2.1540251605772916e-09 6.11080367201633e-09
21 2042.0 -0.0008990015 -0.001001415 -0.000797885 1.4644797964941032e-09 6.053682053253232e-10 3.2063590389224624e-09 -0.000960148 -0.0010383125 -0.00087848875 3.989631739701103e-09 2.085212284363046e-09 6.0609049327148865e-09
22 2044.0 -0.0008990015 -0.001001415 -0.0008017722499999999 1.3042258967710443e-09 4.838539575974113e-10 2.529525407708023e-09 -0.0009609029999999999 -0.0010383125 -0.000889125875 3.778648967640782e-09 1.8657982764900366e-09 6.003474046700092e-09
23 2046.0 -0.0009057325 -0.00099903075 -0.0008017722499999999 1.1289423897828634e-09 3.996365270585435e-10 2.5988988886554465e-09 -0.0009632315 -0.0010326575 -0.00089154325 3.232421134493548e-09 1.764496447557798e-09 5.677365534618504e-09
24 2048.0 -0.000905391 -0.001001415 -0.0008071455 7.670969495702214e-10 4.120325050512643e-10 1.6820203250993808e-09 -0.0009632315 -0.0010330475 -0.00089154325 3.210316584943615e-09 1.7360203314145696e-09 5.535030904488254e-09
25 2050.0 -0.0008990015 -0.001001415 -0.0008134435 7.568144237602516e-10 3.5815772866651956e-10 1.5646546461442252e-09 -0.000965196 -0.0010383125 -0.0008950717499999999 3.0779631092763154e-09 1.5790336273161851e-09 5.614645362284033e-09
26 2052.0 -0.0008979195 -0.001001415 -0.0008134435 6.905470108155198e-10 3.324143491441953e-10 1.5721365761846521e-09 -0.0009694505 -0.0010403575 -0.0008987205 3.0518089179394714e-09 1.5151318220536562e-09 5.072555129320018e-09
27 2054.0 -0.0008966600000000001 -0.00099903075 -0.0008134435 5.968593607310925e-10 3.134214016775378e-10 1.4411184209960111e-09 -0.0009714985000000001 -0.0010447775 -0.00089978775 2.8167224904659805e-09 1.3374715305216045e-09 5.0379608261716224e-09
28 2056.0 -0.0008966600000000001 -0.00099903075 -0.00082106125 6.115581973180529e-10 2.987957441555588e-10 1.3611061174878828e-09 -0.0009714985000000001 -0.0010550975 -0.0009018030000000001 2.4393474565593945e-09 1.1283722535940321e-09 4.571200065497131e-09
29 2058.0 -0.0008966600000000001 -0.00099903075 -0.00082106125 5.860357098260715e-10 3.0298099958542486e-10 1.3437189385633767e-09 -0.000966452 -0.0010526125 -0.0008940067500000001 2.3627677957356852e-09 1.1873435074377364e-09 4.231161874753697e-09
30 2060.0 -0.0008966600000000001 -0.00099903075 -0.00082106125 5.700178769626235e-10 3.116596480124296e-10 1.1449543100492948e-09 -0.000966452 -0.001053465 -0.00089545925 2.0763162199788228e-09 1.0715626736896777e-09 3.960917600407003e-09
31 2062.0 -0.0008966600000000001 -0.00099903075 -0.00082106125 5.013882660649287e-10 2.681376432905317e-10 1.0474469298127548e-09 -0.000969166 -0.0010550975 -0.00089545925 1.9787325908451122e-09 9.915068671966687e-10 3.834822097579632e-09
32 2064.0 -0.0008990015 -0.00099903075 -0.00082117675 4.19011121200702e-10 2.659190777314248e-10 1.0362810794116917e-09 -0.000969166 -0.0010550975 -0.0009013490000000001 1.7843182701446692e-09 8.39160463542098e-10 3.77048085322265e-09
33 2066.0 -0.0008966600000000001 -0.00099903075 -0.00082117675 4.1913708507237965e-10 2.3043352377671714e-10 8.790001311637105e-10 -0.000969166 -0.0010555400000000002 -0.00090227825 1.6650668605213314e-09 7.993941881160169e-10 3.5307647695072546e-09
34 2068.0 -0.0008962600000000001 -0.00099903075 -0.00082117675 4.002110460303543e-10 1.68171614104648e-10 8.420427902316955e-10 -0.0009714985000000001 -0.0010550975 -0.0009053232500000001 1.5799729363697127e-09 6.265827380590589e-10 3.215346997070057e-09
35 2070.0 -0.000897455 -0.00100585 -0.00082117675 3.9300792616560815e-10 1.9100872334881412e-10 8.16355387985018e-10 -0.000977804 -0.0010628249999999999 -0.0009053232500000001 1.4523980564223308e-09 6.756853715922094e-10 3.276932049178417e-09
36 2072.0 -0.0008966600000000001 -0.00100585 -0.00082117675 3.5962921769554897e-10 2.076158857146139e-10 8.108604323248228e-10 -0.000977804 -0.0010628249999999999 -0.0009053232500000001 1.427063491607248e-09 5.553181162961815e-10 2.8345337530520347e-09
37 2074.0 -0.000895426 -0.001010905 -0.00082117675 3.5516270292244086e-10 2.0141880455566294e-10 7.698294426378066e-10 -0.0009829585 -0.0010628249999999999 -0.00090640475 1.3853866932035777e-09 5.310736252513866e-10 2.704297928546432e-09
38 2076.0 -0.000895426 -0.0010188225000000001 -0.0008263415 3.494848567285914e-10 1.828046737424164e-10 8.082404006130055e-10 -0.0009829585 -0.0010628249999999999 -0.00090227825 1.1987200442140798e-09 4.975867552838872e-10 2.652336732075164e-09
39 2078.0 -0.000895426 -0.0010188225000000001 -0.0008263415 3.452562114528594e-10 1.6510679728012238e-10 8.221619876847297e-10 -0.0009829585 -0.0010697274999999999 -0.00090277575 1.0946344508521513e-09 4.746298711280775e-10 2.5609907427904246e-09
40 2080.0 -0.0008966600000000001 -0.0010188225000000001 -0.0008285314999999999 3.219235831372141e-10 1.5835948543632626e-10 6.282452876705668e-10 -0.000984112 -0.0010697274999999999 -0.00090277575 1.1158763535985663e-09 4.316785980173349e-10 2.4672936699329517e-09
41 2082.0 -0.0008966600000000001 -0.0010188225000000001 -0.0008285314999999999 2.9306216130498487e-10 1.572477957772342e-10 5.362192988624643e-10 -0.0009829585 -0.0010697274999999999 -0.00091079675 1.0292598695900926e-09 4.323429001103605e-10 2.2837833404482315e-09
42 2084.0 -0.0008966600000000001 -0.0010188225000000001 -0.0008285314999999999 2.864005445556727e-10 1.396076919441474e-10 5.69188283616708e-10 -0.000984112 -0.0010697274999999999 -0.0009128795000000001 9.09465934653599e-10 3.650177502664335e-10 2.305190838664324e-09
43 2086.0 -0.0008978065000000001 -0.0010188225000000001 -0.0008285314999999999 2.7751795008260097e-10 1.382830814719107e-10 5.351467235914079e-10 -0.000984112 -0.0010697274999999999 -0.0009128795000000001 9.660388727169662e-10 3.375912100732228e-10 2.3626358763746074e-09
44 2088.0 -0.0008978065000000001 -0.0010188225000000001 -0.0008285314999999999 2.5487987833763057e-10 1.43384594255272e-10 5.054332550477864e-10 -0.000984112 -0.0010697274999999999 -0.0009128795000000001 9.905784671930167e-10 3.5219501873562675e-10 2.126871773850892e-09
45 2090.0 -0.0008978065000000001 -0.0010188225000000001 -0.0008285314999999999 2.42427757366404e-10 1.3428373443495953e-10 4.953874490319606e-10 -0.0009861305 -0.0010697274999999999 -0.0009128795000000001 8.342943196863195e-10 3.505587304709029e-10 2.1254327004005124e-09
46 2092.0 -0.0008978065000000001 -0.0010188225000000001 -0.0008285314999999999 2.4521757514467333e-10 1.4316788561288197e-10 4.88339348516513e-10 -0.0009861305 -0.0010697274999999999 -0.00091549 7.960199463207065e-10 3.089915584861191e-10 2.0600694138982263e-09
47 2094.0 -0.0008978065000000001 -0.0010188225000000001 -0.0008285314999999999 2.474843971562108e-10 1.6060648669178017e-10 4.690542360616746e-10 -0.0009861305 -0.0010697274999999999 -0.00091549 8.427014506923175e-10 2.8361568663078747e-10 2.0107361608828506e-09
48 2096.0 -0.0009025775000000001 -0.0010188225000000001 -0.0008285314999999999 2.725531185762799e-10 1.6741916144798357e-10 5.056248049572972e-10 -0.000984767 -0.0010697274999999999 -0.0009186272500000001 7.946815740200142e-10 2.904927124865383e-10 1.8397025807216492e-09
49 2098.0 -0.0009025775000000001 -0.0010154425 -0.0008285314999999999 2.633178102795168e-10 1.9561923832798035e-10 5.505345120885543e-10 -0.000984112 -0.0010697274999999999 -0.00091549 6.704945891195473e-10 3.1447738917789454e-10 1.7500183065513164e-09
50 2100.0 -0.0009025775000000001 -0.0010154425 -0.0008285314999999999 3.015422989383389e-10 1.8573230611664292e-10 5.563532018961588e-10 -0.000984112 -0.0010697274999999999 -0.00091549 6.703520635867031e-10 2.9203009439143514e-10 1.6385862014504453e-09
51 2102.0 -0.0009025775000000001 -0.0010154425 -0.0008285314999999999 3.0447762016765463e-10 2.1240286612214004e-10 5.584030451872669e-10 -0.000988307 -0.0010697274999999999 -0.00091549 6.995078628827285e-10 2.7829232451794136e-10 1.757374788721822e-09
52 2104.0 -0.0009025775000000001 -0.0010154425 -0.0008285314999999999 3.2771054011818785e-10 1.8429095758689813e-10 5.651794857014572e-10 -0.0009861305 -0.0010697274999999999 -0.00091549 6.453786765506831e-10 2.836861828198334e-10 1.6107011856986937e-09
53 2106.0 -0.0009025775000000001 -0.0010154425 -0.0008285314999999999 3.478216440752035e-10 1.7870239720190134e-10 6.76243850808029e-10 -0.000988307 -0.0010724375 -0.00091549 6.597904686278938e-10 2.9522730811038213e-10 1.7016105312944197e-09
54 2108.0 -0.0009025775000000001 -0.001013755 -0.0008285314999999999 3.0568704170997977e-10 1.829605027029366e-10 7.368751262273208e-10 -0.000988307 -0.0010724375 -0.0009139607499999999 7.145104165272657e-10 2.7836080239012737e-10 1.650252365625437e-09
55 2110.0 -0.0009025775000000001 -0.0010154425 -0.0008298872499999999 3.1552207157189543e-10 1.5711668828069094e-10 6.951439810334045e-10 -0.000992311 -0.0010724375 -0.0009139607499999999 5.650834078529155e-10 2.9364352306581533e-10 1.5787138033682778e-09
56 2112.0 -0.0009025775000000001 -0.001020745 -0.0008298872499999999 3.0201745673574224e-10 1.237175086834213e-10 6.6134879194266e-10 -0.000992311 -0.0010724375 -0.0009139607499999999 5.477028434306328e-10 2.8719645376503716e-10 1.3686480125819234e-09
57 2114.0 -0.000908162 -0.0010153875000000001 -0.0008298872499999999 2.6716695704389877e-10 1.4329482330616302e-10 6.228910903958851e-10 -0.000992311 -0.0010697274999999999 -0.00091583825 5.540239268656228e-10 2.86262762405641e-10 1.3311216962100789e-09
58 2116.0 -0.000914409 -0.0010154425 -0.0008285314999999999 2.4219154437973394e-10 1.428199079050421e-10 5.728437163068377e-10 -0.000992311 -0.0010697274999999999 -0.00091583825 5.582545621292695e-10 2.867234615083257e-10 1.1056133450160254e-09
59 2118.0 -0.000914409 -0.001013755 -0.0008285314999999999 2.4567794224773846e-10 1.3379291547380427e-10 4.756877639862537e-10 -0.000988307 -0.0010697274999999999 -0.00091583825 5.711702725904835e-10 2.929156222073129e-10 1.09666849914311e-09
60 2120.0 -0.000914409 -0.001013755 -0.00082950875 2.6548216415290163e-10 1.4024785045925338e-10 4.893501897861831e-10 -0.0009861305 -0.0010674225 -0.0009139607499999999 5.44910921189138e-10 3.006993250532241e-10 1.1286487216045953e-09
61 2122.0 -0.000914409 -0.001013755 -0.0008285314999999999 2.9713924357978105e-10 1.463317024648506e-10 5.008637440229669e-10 -0.0009861305 -0.0010726775 -0.0009139607499999999 6.043934211219898e-10 2.968481565590442e-10 1.0511084111902354e-09
62 2124.0 -0.000914409 -0.0010154425 -0.0008285314999999999 3.1013928871976157e-10 1.8061918240284114e-10 4.823303075000865e-10 -0.0009861305 -0.0010726775 -0.00091583825 6.071757634188085e-10 2.969168008481237e-10 1.0757948072721715e-09
63 2126.0 -0.000914409 -0.0010154425 -0.0008269977499999999 3.151791089881512e-10 1.5903341191142172e-10 4.5040996196429673e-10 -0.000992311 -0.0010803425 -0.00091583825 5.046382593413268e-10 2.7277365986547624e-10 9.411378310464291e-10
64 2128.0 -0.000914409 -0.0010154425 -0.0008269977499999999 2.7987328590197407e-10 1.560739286848024e-10 4.720066033419299e-10 -0.0009922325 -0.0010803425 -0.00091583825 4.986792407250672e-10 2.817214778288345e-10 9.84487529202148e-10
65 2130.0 -0.000911254 -0.0010188225000000001 -0.0008269977499999999 2.4690046422319856e-10 1.5318120420704442e-10 4.451079279354609e-10 -0.000988307 -0.0010803425 -0.00091583825 5.011104400479407e-10 2.3276542782182047e-10 9.207035562606846e-10
66 2132.0 -0.000911254 -0.0010188225000000001 -0.0008253784999999999 2.637006642565096e-10 1.4579822863151527e-10 4.389762801426799e-10 -0.000988307 -0.0010803425 -0.0009139607499999999 4.998973034347272e-10 2.581969098546726e-10 9.253771449753616e-10
67 2134.0 -0.0009025775000000001 -0.0010188225000000001 -0.0008253784999999999 2.5581597864828507e-10 1.2006450751392684e-10 4.1512865281222794e-10 -0.000988307 -0.0010803425 -0.0009139607499999999 4.938451883309633e-10 2.6751568695828525e-10 9.664228344940283e-10
68 2136.0 -0.0009025775000000001 -0.0010188225000000001 -0.0008253784999999999 2.484484312891401e-10 1.2420822432791992e-10 4.743641439238341e-10 -0.000988307 -0.00108041 -0.0009139607499999999 4.294840820301707e-10 2.287959303585591e-10 8.723716592061739e-10
69 2138.0 -0.0009025775000000001 -0.0010188225000000001 -0.0008253784999999999 2.4000960502221505e-10 1.1156260484358255e-10 4.456566861916568e-10 -0.000988307 -0.0010803425 -0.0009128795000000001 4.288601818755704e-10 2.364980456290099e-10 8.878669496305157e-10
70 2140.0 -0.0009025775000000001 -0.0010188225000000001 -0.0008269977499999999 2.3913575239348774e-10 1.4798240992132556e-10 4.5464815775117204e-10 -0.000988307 -0.0010803425 -0.0009128795000000001 4.257812756322994e-10 2.140847755861146e-10 9.408356059133118e-10
71 2142.0 -0.000911254 -0.0010188225000000001 -0.0008253784999999999 2.379222532064587e-10 1.3913110940403813e-10 4.665131433313119e-10 -0.000988307 -0.0010775225 -0.0009127075000000001 4.066340948586852e-10 1.8431982749866216e-10 9.55994049556063e-10
72 2144.0 -0.000911254 -0.0010154425 -0.0008253784999999999 2.552231889089522e-10 1.4368333612355964e-10 5.383340008155788e-10 -0.000988307 -0.0010736525 -0.0009127075000000001 4.2771605467136285e-10 1.8918685063136628e-10 7.817324841051156e-10
73 2146.0 -0.0009029225 -0.0010188225000000001 -0.0008253784999999999 2.7609083841418723e-10 1.3822090194510952e-10 5.324269784848789e-10 -0.000988307 -0.0010736525 -0.00091094725 4.095112026247134e-10 2.1491490700246056e-10 8.767008462484211e-10
74 2148.0 -0.000905007 -0.001016365 -0.0008249539999999999 2.766719301665754e-10 1.4714559042506607e-10 4.4269532807490474e-10 -0.000984175 -0.00106769 -0.00090621 3.8481896308015806e-10 2.2520846533174942e-10 9.144443104595106e-10
75 2150.0 -0.0008981515 -0.0010111450000000002 -0.00081855875 2.6459105495806697e-10 1.5454719231699074e-10 4.3021296842799417e-10 -0.000972732 -0.00105893 -0.0008955065 4.053203204182949e-10 2.390338236414588e-10 8.523387629862411e-10
76 2152.0 -0.0008988755000000001 -0.00101837 -0.0008163257499999999 2.738120033611435e-10 1.5071154829235453e-10 4.4822029172689517e-10 -0.000972732 -0.00105569 -0.0008919625 3.60152301350342e-10 2.393249230345102e-10 7.94831797273871e-10
77 2154.0 -0.000896189 -0.0010111450000000002 -0.0008016669999999999 2.8146493287326326e-10 1.2258618227996798e-10 5.525276536075473e-10 -0.0009608145 -0.0010525299999999999 -0.0008955065 3.418299766063298e-10 2.4227221692655165e-10 6.323469483387488e-10
78 2156.0 -0.0008952695 -0.0010006485 -0.0008016669999999999 2.605284180687379e-10 1.253808507695982e-10 4.509528640432514e-10 -0.0009608145 -0.0010525299999999999 -0.0008899312499999999 3.630626554651055e-10 2.2622360099937054e-10 5.970229551379371e-10
79 2158.0 -0.000887808 -0.001004395 -0.0008163257499999999 2.7111944817883565e-10 1.3235960551908119e-10 5.473337483486507e-10 -0.0009568565 -0.0010552675 -0.00088890325 3.9263312492129147e-10 2.1909953157713404e-10 6.799560206355515e-10
80 2160.0 -0.000887808 -0.001004395 -0.0008163257499999999 1.990830649620355e-10 1.265966927731486e-10 4.810154303447729e-10 -0.0009568565 -0.0010534774999999999 -0.0008918147499999999 3.9979165254405067e-10 2.466078608610241e-10 5.928170444105927e-10
81 2162.0 -0.000878653 -0.00101452 -0.000808153 2.2672828513493563e-10 1.419884002418237e-10 4.1865497526602225e-10 -0.000953371 -0.00103837 -0.000889114 3.5985897708547605e-10 2.1072373525874144e-10 6.774759470277105e-10
82 2164.0 -0.000876965 -0.001002055 -0.0008037165000000001 2.2207882096382717e-10 1.4233485281314741e-10 4.642711712759582e-10 -0.0009497425 -0.001028995 -0.0008804005 3.378568143248225e-10 2.1300150166742794e-10 6.149262703657528e-10
83 2166.0 -0.0008687335 -0.0009983975 -0.00078967725 2.4161995028210387e-10 1.5738581609995074e-10 3.991754355030072e-10 -0.0009408865 -0.00102662 -0.00087706525 3.152306378806689e-10 1.826254059906384e-10 5.620667686243493e-10
84 2168.0 -0.00086219 -0.000987305 -0.000783652 2.386998245433519e-10 1.5481665372886556e-10 3.7951277867045124e-10 -0.00093898 -0.00102856 -0.000876014 3.0558595084099585e-10 1.9210105298783605e-10 5.107561113993173e-10
85 2170.0 -0.00086522 -0.000987729 -0.0007820175 2.693860330336258e-10 1.5837294373318316e-10 4.3253745043870884e-10 -0.000935699 -0.0010295249999999999 -0.0008745585000000001 3.241820372738626e-10 2.1151161776054105e-10 5.273185683443798e-10
86 2172.0 -0.0008780425000000001 -0.000987729 -0.0007820175 3.278680124989669e-10 1.9729075064356898e-10 4.741208901260751e-10 -0.0009442555 -0.0010339075 -0.00087622775 3.281654575212177e-10 2.3137639054379554e-10 6.200648755650457e-10
87 2174.0 -0.0008675835000000001 -0.0009604489999999999 -0.0007927990000000001 2.7301636426542246e-10 2.038674636081375e-10 5.2362320600271e-10 -0.000949176 -0.0010339675 -0.00087622775 3.451040439135998e-10 2.4537642481551373e-10 7.15439963363212e-10
88 2176.0 -0.000859295 -0.00094613975 -0.00078772225 2.2230070038176997e-10 1.3549963017864953e-10 4.4263872303882755e-10 -0.0009442555 -0.0010343375 -0.0008745585000000001 4.0891235566607316e-10 2.5098572582042235e-10 8.154142667355756e-10
89 2178.0 -0.000839111 -0.000923999 -0.000745542 2.7362871203139367e-10 1.5539754994307206e-10 3.496935622661006e-10 -0.000948151 -0.00102856 -0.000876014 4.353784580511898e-10 2.7464107067114023e-10 8.26258242246757e-10
90 2180.0 -0.0008332535 -0.00092242925 -0.0007385415000000001 2.5151915524485367e-10 1.4205952385992023e-10 4.204435678917471e-10 -0.000935699 -0.00102662 -0.0008716475 3.9703182356258383e-10 2.979155466766116e-10 9.934186171640073e-10
91 2182.0 -0.0008422015000000001 -0.0009387657500000001 -0.00076495675 2.2804044195975808e-10 1.2682976450258208e-10 3.8967948894091056e-10 -0.0009312675 -0.00099813 -0.0008760852500000001 4.1708286408447155e-10 3.027602123540423e-10 1.028419616321824e-09
92 2184.0 -0.00083962 -0.000923999 -0.000759146 2.1391811510816666e-10 1.4249260662542716e-10 3.3964384118956774e-10 -0.000931038 -0.000996311 -0.000876299 3.934345063132949e-10 2.559755124350074e-10 1.011145999134544e-09
93 2186.0 -0.000864208 -0.00092892125 -0.00077983075 2.014383674658512e-10 9.979150373068647e-11 3.0505519415953453e-10 -0.0009312675 -0.0009900104999999999 -0.0008760005 3.5396997210079137e-10 2.2196030762116433e-10 1.011666540848481e-09
94 2188.0 -0.0008542405 -0.00095099075 -0.0007661795 2.0426176581963836e-10 1.2414084127790457e-10 3.591657708338063e-10 -0.0009359285 -0.00099072875 -0.0008693565 4.516381173552699e-10 2.4211030709497006e-10 9.355387583130825e-10
95 2190.0 -0.000891736 -0.000972899 -0.000795696 2.432272276102143e-10 1.6021191775080692e-10 3.383446183228864e-10 -0.000928978 -0.000988086 -0.000840436 4.719602935171937e-10 2.6176279649248097e-10 1.1395659592338947e-09
96 2192.0 -0.000916603 -0.0009768555 -0.000784296 2.2584412397007423e-10 1.5687469226304526e-10 3.3151116890014495e-10 -0.000940942 -0.000990495 -0.000855314 4.6178401413087707e-10 2.88645395267279e-10 1.257816131993469e-09
97 2194.0 -0.000898377 -0.00097901975 -0.000778983 1.944189139498158e-10 1.1789144612140112e-10 4.2748810140633805e-10 -0.0009302374999999999 -0.00099038775 -0.0008725417499999999 4.039762359198485e-10 2.8178764604396916e-10 1.2684678515123083e-09
98 2196.0 -0.000916603 -0.0009851405 -0.0007890425 2.0537528774664222e-10 1.5610525300013063e-10 4.207010353283868e-10 -0.000928978 -0.0009752325 -0.0008717585 3.7678729459037343e-10 2.421703995580637e-10 1.322687570249715e-09
99 2198.0 -0.000916603 -0.0009859855 -0.0007890425 2.972532192095851e-10 1.7316404452436084e-10 3.875614047774663e-10 -0.000928978 -0.0009752325 -0.0008717585 4.620093200287358e-10 3.4405649022619753e-10 1.285056432717152e-09
100 2200.0 -0.0009171615000000001 -0.00099623275 -0.000803621 2.2211902684101443e-10 1.459785923727518e-10 4.236145366763664e-10 -0.0009302374999999999 -0.00098165925 -0.00088170025 4.898086938292405e-10 2.4829847628922074e-10 9.824188152111964e-10
101 2202.0 -0.000916603 -0.000992785 -0.000861071 2.3033172860579584e-10 1.769366233433086e-10 4.068310848354634e-10 -0.000928978 -0.000962379 -0.000870192 5.912129816541856e-10 2.12824581483447e-10 8.973008885307032e-10
102 2204.0 -0.00091933 -0.0009928752500000001 -0.0008639160000000001 3.5205538828515705e-10 1.984948159336559e-10 5.396790815678081e-10 -0.0009256704999999999 -0.00098165925 -0.0008663062499999999 3.827742305011557e-10 2.4694263166843437e-10 1.2530698670074218e-09
103 2206.0 -0.000916603 -0.001006132 -0.0008283835 3.583818674592604e-10 1.3944336763121335e-10 6.453833621610883e-10 -0.000919844 -0.000981871 -0.0008770354999999999 3.72416175720647e-10 1.9468135690927123e-10 1.1072561159272067e-09
104 2208.0 -0.000902437 -0.000933794 -0.000795696 4.236624694489247e-10 1.4759094930097293e-10 6.025683208383497e-10 -0.000908907 -0.000951334 -0.000873325 5.581795225033672e-10 2.5317733173247e-10 1.1173091326748277e-09
105 2210.0 -0.000872451 -0.000933794 -0.000795696 1.4731050087481863e-10 1.2234332956128159e-10 3.8387349098743685e-10 -0.000908907 -0.000951334 -0.000873325 8.090257385423178e-10 3.9889008739507993e-10 1.2835044769157837e-09
