max_pf 77 min_pf 48
individual DHm DSm DCp disp_rate patch_no b_patch_no mut_eff DDHm DDCp
1032 0.569584 -0.00100126 -0.0467789 0.01 60 60 0 0 0
1047 0.597393 -0.00091699 -0.0613332 0.01 60 60 -0.0104 0.0137258 0
1053 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1059 0.572987 -0.000990949 -0.0625466 0.01 60 60 0 0 0
1062 0.578079 -0.000975517 -0.0669103 0.01 50 50 0 0 0
1063 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
1080 0.544642 -0.00107684 -0.0356644 0.01 60 60 0 0 0
1092 0.57768 -0.000976728 -0.0876619 0.01 49 49 0 0 0
1094 0.579725 -0.000970531 -0.0844736 0.01 60 60 0 0 0
1100 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
1101 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
1103 0.572648 -0.000991974 -0.0669103 0.01 49 49 0.00322758 -0.00503147 0
1104 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1116 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
1134 0.57768 -0.000976728 -0.0642966 0.01 50 50 0 0 0
1136 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1137 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1138 0.593255 -0.000929531 -0.0704915 0.01 60 60 0 0 0
1159 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1163 0.570284 -0.000999139 -0.0669103 0.01 48 48 0 0 0
1170 0.57768 -0.000976728 -0.0669103 0.01 49 50 0 0 0
1196 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1199 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1209 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1217 0.593047 -0.00093016 -0.0876619 0.01 49 49 0 0 0
1226 0.591931 -0.000933541 -0.0642966 0.01 50 50 -0.00910838 0.0142515 0
1228 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
1237 0.553598 -0.0010497 -0.0492668 0.01 50 50 0 0 0
1240 0.545089 -0.00107549 -0.0503779 0.01 60 60 0 0 0
1247 0.570066 -0.0009998 -0.0506924 0.01 60 60 0 0 0
1248 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
1261 0.513327 -0.00117174 -0.0638371 0.01 60 60 0 0 0
1268 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1269 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
1275 0.553598 -0.0010497 -0.0492668 0.01 49 50 0 0 0
1288 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
1294 0.57768 -0.000976728 -0.0669103 0.01 49 50 0 0 0
1302 0.6151 -0.000863332 -0.00428066 0.01 75 75 0 0 0
1304 0.57768 -0.000976728 -0.0669103 0.01 48 49 0 0 0
1322 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
1327 0.586832 -0.000948993 -0.0519774 0.01 49 49 0.000974596 0 0.0149329
