	time	range_hot	range_cold
537	3074	100	50
538	3076	100	50
539	3078	100	50
540	3080	100	50
541	3082	100	50
542	3084	100	50
543	3086	100	50
544	3088	100	50
545	3090	100	50
546	3092	100	50
547	3094	100	50
548	3096	100	50
549	3098	100	50
550	3100	100	50
551	3102	100	50
552	3104	100	50
553	3106	100	50
554	3108	100	50
555	3110	100	50
556	3112	100	50
557	3114	100	50
558	3116	100	50
559	3118	100	50
560	3120	100	50
561	3122	100	50
562	3124	100	50
563	3126	100	50
564	3128	100	50
565	3130	100	50
566	3132	100	50
567	3134	100	50
568	3136	100	50
569	3138	100	50
570	3140	100	50
571	3142	100	50
572	3144	100	50
573	3146	100	50
574	3148	100	50
575	3150	100	50
576	3152	100	50
577	3154	100	50
578	3156	100	50
579	3158	100	50
580	3160	100	50
581	3162	100	50
582	3164	100	50
583	3166	100	50
584	3168	100	50
585	3170	100	50
586	3172	100	50
587	3174	99	50
588	3176	99	50
589	3178	100	50
590	3180	99	50
591	3182	99	50
592	3184	99	50
593	3186	99	50
594	3188	99	50
595	3190	102	50
596	3192	100	50
597	3194	102	50
598	3196	100	50
599	3198	100	50
600	3200	100	50
601	3202	99	50
602	3204	99	50
603	3206	100	50
604	3208	100	50
605	3210	100	50
606	3212	100	50
607	3214	100	50
608	3216	101	50
609	3218	101	50
610	3220	101	50
611	3222	101	50
612	3224	101	50
613	3226	101	50
614	3228	101	50
615	3230	101	50
616	3232	101	50
617	3234	101	50
618	3236	101	50
619	3238	101	50
620	3240	101	50
621	3242	101	50
622	3244	101	50
623	3246	101	50
624	3248	101	50
625	3250	101	50
626	3252	101	50
627	3254	101	50
628	3256	100	50
629	3258	101	50
630	3260	100	50
631	3262	101	50
632	3264	101	50
633	3266	101	50
634	3268	101	50
635	3270	100	50
636	3272	100	50
637	3274	100	50
638	3276	100	50
639	3278	100	50
640	3280	100	50
641	3282	100	50
642	3284	101	50
643	3286	101	50
644	3288	101	50
645	3290	101	50
646	3292	101	50
647	3294	100	50
648	3296	100	50
649	3298	100	50
650	3300	100	50
651	3302	101	50
652	3304	100	50
653	3306	100	50
654	3308	100	50
655	3310	100	50
656	3312	100	50
657	3314	100	50
658	3316	100	50
659	3318	100	50
660	3320	100	50
661	3322	100	50
662	3324	100	50
663	3326	100	50
664	3328	100	50
665	3330	100	50
666	3332	100	50
667	3334	100	50
668	3336	100	50
669	3338	100	50
670	3340	102	50
671	3342	102	50
672	3344	102	50
673	3346	102	50
674	3348	102	50
675	3350	102	50
676	3352	102	50
677	3354	102	50
678	3356	102	50
679	3358	102	50
680	3360	102	50
681	3362	102	50
682	3364	102	50
683	3366	102	50
684	3368	102	50
685	3370	101	50
686	3372	101	50
687	3374	101	50
688	3376	101	50
689	3378	101	50
690	3380	101	50
691	3382	101	50
692	3384	102	50
693	3386	102	50
694	3388	101	50
695	3390	101	50
696	3392	101	50
697	3394	100	50
698	3396	100	50
699	3398	100	50
700	3400	101	50
701	3402	101	50
702	3404	101	50
703	3406	101	50
704	3408	101	50
705	3410	101	50
706	3412	101	50
